from,to,combined_score
9606.ENSP00000162749,9606.ENSP00000216117,435
9606.ENSP00000162749,9606.ENSP00000216117,435
9606.ENSP00000009530,9606.ENSP00000225831,497
9606.ENSP00000009530,9606.ENSP00000225831,497
9606.ENSP00000162749,9606.ENSP00000225831,768
9606.ENSP00000162749,9606.ENSP00000225831,768
9606.ENSP00000216117,9606.ENSP00000225831,697
9606.ENSP00000216117,9606.ENSP00000225831,697
9606.ENSP00000225831,9606.ENSP00000245907,737
9606.ENSP00000225831,9606.ENSP00000245907,737
9606.ENSP00000245907,9606.ENSP00000246006,634
9606.ENSP00000245907,9606.ENSP00000246006,634
9606.ENSP00000009530,9606.ENSP00000248598,404
9606.ENSP00000009530,9606.ENSP00000248598,404
9606.ENSP00000216117,9606.ENSP00000253408,451
9606.ENSP00000216117,9606.ENSP00000253408,451
9606.ENSP00000225831,9606.ENSP00000253408,584
9606.ENSP00000225831,9606.ENSP00000253408,584
9606.ENSP00000009530,9606.ENSP00000255688,468
9606.ENSP00000009530,9606.ENSP00000255688,468
9606.ENSP00000009530,9606.ENSP00000261267,479
9606.ENSP00000009530,9606.ENSP00000261267,479
9606.ENSP00000245907,9606.ENSP00000261267,636
9606.ENSP00000245907,9606.ENSP00000261267,636
9606.ENSP00000216117,9606.ENSP00000264613,942
9606.ENSP00000216117,9606.ENSP00000264613,942
9606.ENSP00000225831,9606.ENSP00000264613,430
9606.ENSP00000225831,9606.ENSP00000264613,430
9606.ENSP00000245907,9606.ENSP00000264613,751
9606.ENSP00000245907,9606.ENSP00000264613,751
9606.ENSP00000009530,9606.ENSP00000264832,488
9606.ENSP00000009530,9606.ENSP00000264832,488
9606.ENSP00000162749,9606.ENSP00000264832,742
9606.ENSP00000162749,9606.ENSP00000264832,742
9606.ENSP00000216117,9606.ENSP00000264832,675
9606.ENSP00000216117,9606.ENSP00000264832,675
9606.ENSP00000225831,9606.ENSP00000264832,928
9606.ENSP00000225831,9606.ENSP00000264832,928
9606.ENSP00000245907,9606.ENSP00000264832,705
